VX,VY, tiempo
1.321579999999999977e-01,-4.419250000000000123e-01,2.171600000000000108e+01
1.326390000000000069e-01,-4.417989999999999973e-01,2.181700000000000017e+01
1.328950000000000131e-01,-4.417349999999999888e-01,2.191700000000000159e+01
1.331829999999999958e-01,-4.416619999999999990e-01,2.201699999999999946e+01
1.333179999999999921e-01,-4.416289999999999938e-01,2.211700000000000088e+01
1.334150000000000058e-01,-4.416129999999999778e-01,2.221699999999999875e+01
1.334190000000000098e-01,-4.416189999999999838e-01,2.231700000000000017e+01
1.333370000000000111e-01,-4.416539999999999910e-01,2.241799999999999926e+01
1.332250000000000101e-01,-4.416930000000000023e-01,2.251800000000000068e+01
1.329750000000000099e-01,-4.417769999999999753e-01,2.261799999999999855e+01
1.327540000000000109e-01,-4.418469999999999898e-01,2.271799999999999997e+01
1.324929999999999997e-01,-4.419299999999999895e-01,2.281800000000000139e+01
1.320270000000000055e-01,-4.420780000000000265e-01,2.291799999999999926e+01
1.316690000000000083e-01,-4.421880000000000255e-01,2.301899999999999835e+01
1.310649999999999871e-01,-4.423730000000000162e-01,2.311899999999999977e+01
1.305900000000000116e-01,-4.425149999999999917e-01,2.321900000000000119e+01
1.298570000000000002e-01,-4.427289999999999837e-01,2.331899999999999906e+01
1.293320000000000025e-01,-4.428849999999999731e-01,2.341900000000000048e+01
1.284899999999999931e-01,-4.431269999999999931e-01,2.351899999999999835e+01
1.278980000000000117e-01,-4.432969999999999966e-01,2.362000000000000099e+01
1.269639999999999935e-01,-4.435609999999999831e-01,2.371999999999999886e+01
1.263150000000000106e-01,-4.437440000000000273e-01,2.382000000000000028e+01
1.253049999999999997e-01,-4.440279999999999783e-01,2.392000000000000171e+01
1.246109999999999995e-01,-4.442189999999999750e-01,2.401999999999999957e+01
1.235419999999999990e-01,-4.445169999999999955e-01,2.412099999999999866e+01
1.228130000000000055e-01,-4.447139999999999982e-01,2.422100000000000009e+01
1.216539999999999982e-01,-4.450290000000000079e-01,2.432100000000000151e+01
1.209019999999999956e-01,-4.452309999999999879e-01,2.442099999999999937e+01
1.197629999999999945e-01,-4.455339999999999856e-01,2.452100000000000080e+01
1.189989999999999937e-01,-4.457389999999999963e-01,2.462099999999999866e+01
1.178479999999999944e-01,-4.460390000000000188e-01,2.472100000000000009e+01
1.170820000000000055e-01,-4.462380000000000235e-01,2.482199999999999918e+01
1.159359999999999974e-01,-4.465319999999999845e-01,2.492200000000000060e+01
1.151770000000000016e-01,-4.467249999999999832e-01,2.502199999999999847e+01
1.140509999999999996e-01,-4.470109999999999917e-01,2.512399999999999878e+01
1.133099999999999941e-01,-4.471979999999999844e-01,2.522299999999999898e+01
1.122159999999999963e-01,-4.474710000000000076e-01,2.532300000000000040e+01
1.115010000000000029e-01,-4.476490000000000191e-01,2.542299999999999827e+01
1.104099999999999943e-01,-4.479190000000000116e-01,2.552299999999999969e+01
1.097299999999999942e-01,-4.480899999999999883e-01,2.562300000000000111e+01
1.087400000000000033e-01,-4.483320000000000083e-01,2.572299999999999898e+01
1.081010000000000026e-01,-4.484890000000000265e-01,2.582400000000000162e+01
1.071779999999999955e-01,-4.487140000000000017e-01,2.592399999999999949e+01
1.065870000000000012e-01,-4.488570000000000060e-01,2.602400000000000091e+01
1.057379999999999987e-01,-4.490589999999999860e-01,2.612399999999999878e+01
1.051990000000000008e-01,-4.491870000000000029e-01,2.622400000000000020e+01
