X,Y, tiempo
-5.475749000000000422e+00,1.471816000000000013e+00,1.450399999999999956e+01
-5.511678999999999995e+00,1.479710000000000081e+00,1.460399999999999920e+01
-5.565662999999999805e+00,1.491160000000000041e+00,1.470500000000000007e+01
-5.601708000000000354e+00,1.498540999999999901e+00,1.480499999999999972e+01
-5.655852999999999575e+00,1.509254000000000095e+00,1.490499999999999936e+01
-5.691999000000000031e+00,1.516167000000000042e+00,1.500500000000000078e+01
-5.746285000000000309e+00,1.526210000000000067e+00,1.513700000000000045e+01
-5.782517999999999603e+00,1.532699999999999951e+00,1.520599999999999952e+01
-5.839195000000000135e+00,1.542534999999999989e+00,1.530599999999999916e+01
-5.875505000000000422e+00,1.548645000000000049e+00,1.540600000000000058e+01
-5.930018999999999707e+00,1.557561999999999891e+00,1.550600000000000023e+01
-5.966391999999999918e+00,1.563355000000000050e+00,1.560599999999999987e+01
-6.002786999999999651e+00,1.569036000000000097e+00,1.570599999999999952e+01
-6.057417000000000051e+00,1.577366999999999964e+00,1.580599999999999916e+01
-6.093859000000000137e+00,1.582807000000000075e+00,1.590600000000000058e+01
-6.148551999999999573e+00,1.590818000000000065e+00,1.600600000000000023e+01
-6.185031999999999641e+00,1.596073000000000075e+00,1.610699999999999932e+01
-6.239773999999999710e+00,1.603847999999999940e+00,1.620700000000000074e+01
-6.276282000000000139e+00,1.608972000000000069e+00,1.630699999999999861e+01
-6.331059999999999910e+00,1.616592000000000029e+00,1.640700000000000003e+01
-6.369869999999999699e+00,1.621955000000000036e+00,1.650700000000000145e+01
-6.424669999999999881e+00,1.629499000000000031e+00,1.660800000000000054e+01
-6.461206999999999923e+00,1.634524000000000088e+00,1.670799999999999841e+01
-6.516015999999999586e+00,1.642072999999999894e+00,1.680799999999999983e+01
-6.552556000000000047e+00,1.647124999999999950e+00,1.690800000000000125e+01
-6.607362000000000180e+00,1.654751000000000083e+00,1.700799999999999912e+01
-6.643895999999999802e+00,1.659877999999999965e+00,1.710800000000000054e+01
-6.698687999999999754e+00,1.667650000000000077e+00,1.720899999999999963e+01
-6.735208000000000084e+00,1.672895000000000021e+00,1.730900000000000105e+01
